Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Bilecik,TUR.16_1,Bilecik,,,,TUR.16_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Kocaeli,TUR.52_1,Kocaeli,,,,TUR.52_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Sakarya,TUR.66_1,Sakarya,,,,TUR.66_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Düzce,TUR.27_1,Düzce,,,,TUR.27_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Bolu,TUR.19_1,Bolu,,,,TUR.19_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Yalova,TUR.79_1,Yalova,,,,TUR.79_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,Turkey,TUR,TR,1,Ankara,TUR.7_1,Ankara,,,,TUR.7_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,Turkey,TUR,TR,1,Konya,TUR.53_1,Konya,,,,TUR.53_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,Turkey,TUR,TR,1,Karaman,TUR.44_1,Karaman,,,,TUR.44_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,Turkey,TUR,TR,1,Antalya,TUR.8_1,Antalya,,,,TUR.8_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,Turkey,TUR,TR,1,Isparta,TUR.39_1,Isparta,,,,TUR.39_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,Turkey,TUR,TR,1,Burdur,TUR.20_1,Burdur,,,,TUR.20_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,Turkey,TUR,TR,1,Adana,TUR.1_1,Adana,,,,TUR.1_1
