Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Burkina Faso,BFA,GDP per capita (current LCU),NY.GDP.PCAP.CN,397406.52696613205,2018.0
Burundi,BDI,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.7932497932901,2017.0
Burundi,BDI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2297326308.24925,2017.0
Burundi,BDI,GDP per capita (current LCU),NY.GDP.PCAP.CN,484501.284878239,2018.0
Cabo Verde,CPV,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.38240874302298,2017.0
Cabo Verde,CPV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1306335322.78554,2017.0
Cabo Verde,CPV,GDP per capita (current LCU),NY.GDP.PCAP.CN,339596.44130666304,2018.0
Cambodia,KHM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.46010650308995,2017.0
Cambodia,KHM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18434698363.84,2017.0
Cambodia,KHM,GDP per capita (current LCU),NY.GDP.PCAP.CN,6125877.67505787,2018.0
Cameroon,CMR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.04842736760158,2017.0
Cameroon,CMR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29052423887.784,2017.0
Cameroon,CMR,GDP per capita (current LCU),NY.GDP.PCAP.CN,852327.8076740791,2018.0
Canada,CAN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.10894569400942,2017.0
Canada,CAN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1344757613682.21,2017.0
Canada,CAN,GDP per capita (current LCU),NY.GDP.PCAP.CN,59908.45156281559,2018.0
Cayman Islands,CYM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Cayman Islands,CYM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
